rank,industry,product_name,brand,price,user_rating,user_reviews,category,price_band,rating_tier
30,Coffee,Espresso Shot,Starbucks,2.95,4.5,1200,Espresso,Budget ($0-25),Top Rated (4.5-5)
31,Coffee,Double Espresso,Starbucks,3.45,4.6,980,Espresso,Budget ($0-25),Top Rated (4.5-5)
32,Coffee,Espresso Macchiato,Starbucks,3.75,4.4,850,Espresso,Budget ($0-25),Good (4-4.4)
33,Coffee,Americano,Starbucks,3.45,4.3,1100,Espresso,Budget ($0-25),Good (4-4.4)
34,Coffee,Cappuccino,Starbucks,4.95,4.5,1500,Espresso,Budget ($0-25),Top Rated (4.5-5)
35,Coffee,Latte,Starbucks,5.25,4.6,2000,Latte,Budget ($0-25),Top Rated (4.5-5)
36,Coffee,Vanilla Latte,Starbucks,5.75,4.7,2500,Latte,Budget ($0-25),Top Rated (4.5-5)
37,Coffee,Caramel Macchiato,Starbucks,5.75,4.8,3000,Latte,Budget ($0-25),Top Rated (4.5-5)
38,Coffee,Mocha,Starbucks,5.45,4.5,1800,Mocha,Budget ($0-25),Top Rated (4.5-5)
39,Coffee,White Mocha,Starbucks,5.75,4.6,1600,Mocha,Budget ($0-25),Top Rated (4.5-5)
40,Coffee,Flat White,Starbucks,4.75,4.4,900,Espresso,Budget ($0-25),Good (4-4.4)
41,Coffee,Cold Brew,Starbucks,4.25,4.7,2200,Cold Brew,Budget ($0-25),Top Rated (4.5-5)
42,Coffee,Nitro Cold Brew,Starbucks,5.25,4.8,1800,Cold Brew,Budget ($0-25),Top Rated (4.5-5)
43,Coffee,Iced Coffee,Starbucks,3.25,4.2,1400,Iced,Budget ($0-25),Good (4-4.4)
44,Coffee,Iced Latte,Starbucks,5.25,4.5,1700,Iced,Budget ($0-25),Top Rated (4.5-5)
45,Coffee,Original Blend,Tim Hortons,1.99,4.0,2500,Drip Coffee,Budget ($0-25),Good (4-4.4)
46,Coffee,Dark Roast,Tim Hortons,1.99,4.1,1800,Drip Coffee,Budget ($0-25),Good (4-4.4)
47,Coffee,French Vanilla,Tim Hortons,2.99,4.5,2200,Specialty,Budget ($0-25),Top Rated (4.5-5)
48,Coffee,Caramel Latte,Tim Hortons,4.29,4.3,1100,Latte,Budget ($0-25),Good (4-4.4)
49,Coffee,Iced Capp,Tim Hortons,3.99,4.6,3000,Iced,Budget ($0-25),Top Rated (4.5-5)
50,Coffee,Cold Brew,Tim Hortons,3.49,4.2,900,Cold Brew,Budget ($0-25),Good (4-4.4)
51,Foods,Hainanese Chicken Chop,Casual Dining,18.2325,64.0,0,Chinese,Budget ($0-25),
52,Foods,Chee Cheong Fun,Casual Dining,14.96,33.0,0,Chinese,Budget ($0-25),
53,Foods,Ang Ku Kueh,Casual Dining,5.59,23.0,0,Chinese,Budget ($0-25),
54,Foods,Lor Bak,Casual Dining,24.582,23.0,0,Chinese,Budget ($0-25),
55,Foods,Chai Tow Kway,Casual Dining,19.8475,22.0,0,Chinese,Budget ($0-25),
56,Foods,Hakka Thunder Tea Rice,Casual Dining,8.316,17.0,0,Chinese,Budget ($0-25),
57,Foods,Chai Tow Kway,Casual Dining,9.036,16.0,0,Chinese,Budget ($0-25),
58,Foods,Fish Maw Soup,Casual Dining,18.414,16.0,0,Chinese,Budget ($0-25),
59,Foods,Lor Bak,Casual Dining,11.358,13.0,0,Chinese,Budget ($0-25),
60,Foods,Bak Kwa,Casual Dining,12.672,9.0,0,Chinese,Budget ($0-25),
61,Foods,Hakka Thunder Tea Rice,Casual Dining,10.044,8.0,0,Chinese,Budget ($0-25),
62,Foods,Braised Duck,Casual Dining,38.8875,31.0,0,Chinese,Mid ($26-50),
63,Foods,Bak Kwa,Casual Dining,32.674,21.0,0,Chinese,Mid ($26-50),
64,Foods,Fish Maw Soup,Casual Dining,28.523,10.0,0,Chinese,Mid ($26-50),
65,Foods,Chettinad Chicken,Casual Dining,17.7055,63.0,0,Indian,Budget ($0-25),
66,Foods,Chicken 65,Casual Dining,20.0345,31.0,0,Indian,Budget ($0-25),
67,Foods,Chettinad Chicken,Casual Dining,23.7575,20.0,0,Indian,Budget ($0-25),
68,Foods,Appam,Casual Dining,7.56,17.0,0,Indian,Budget ($0-25),
69,Foods,Chicken 65,Casual Dining,12.834,15.0,0,Indian,Budget ($0-25),
70,Foods,Idli Sambar,Casual Dining,6.966,15.0,0,Indian,Budget ($0-25),
71,Foods,Chettinad Chicken,Casual Dining,11.754,13.0,0,Indian,Budget ($0-25),
72,Foods,Appam,Casual Dining,5.616,7.0,0,Indian,Budget ($0-25),
73,Foods,Fish Head Curry Tamil,Casual Dining,36.322,12.0,0,Indian,Mid ($26-50),
74,Foods,Keropok Keping,Casual Dining,4.522,42.0,0,Malay,Budget ($0-25),
75,Foods,Kuih Bahulu,Casual Dining,5.24,22.0,0,Malay,Budget ($0-25),
76,Foods,Gulai Tempoyak Ikan,Casual Dining,24.4885,21.0,0,Malay,Budget ($0-25),
77,Foods,Ikan Pekasam,Casual Dining,11.484,20.0,0,Malay,Budget ($0-25),
78,Foods,Gulai Kawah,Casual Dining,8.892,15.0,0,Malay,Budget ($0-25),
79,Foods,Gulai Nangka Muda,Casual Dining,7.578,13.0,0,Malay,Budget ($0-25),
80,Foods,Keropok Lekor,Casual Dining,7.77,13.0,0,Malay,Budget ($0-25),
81,Foods,Gulai Ikan Patin,Casual Dining,19.217,12.0,0,Malay,Budget ($0-25),
82,Foods,Ikan Bakar Sambal,Casual Dining,12.384,12.0,0,Malay,Budget ($0-25),
83,Foods,Keropok Lekor,Casual Dining,4.014,11.0,0,Malay,Budget ($0-25),
84,Foods,Keropok Keping,Casual Dining,3.69,8.0,0,Malay,Budget ($0-25),
85,Foods,Kuih Bahulu,Casual Dining,7.392,8.0,0,Malay,Budget ($0-25),
86,Foods,Lemang,Casual Dining,5.652,8.0,0,Malay,Budget ($0-25),
87,Foods,Gulai Ikan Patin,Casual Dining,16.676,7.0,0,Malay,Budget ($0-25),
88,Foods,Cucur Udang,Casual Dining,8.514,6.0,0,Malay,Budget ($0-25),
89,Foods,Keropok Keping,Casual Dining,3.798,5.0,0,Malay,Budget ($0-25),Top Rated (4.5-5)
90,Foods,Kuih Seri Muka,Casual Dining,4.788,4.0,0,Malay,Budget ($0-25),Good (4-4.4)
91,Foods,Durian Cendol,Casual Dining,11.9,32.0,0,Malaysian,Budget ($0-25),
92,Foods,Limau Ais,Casual Dining,7.13,23.0,0,Malaysian,Budget ($0-25),
93,Foods,Limau Ais,Casual Dining,7.395,21.0,0,Malaysian,Budget ($0-25),
94,Foods,Durian Cendol,Casual Dining,10.08,12.0,0,Malaysian,Budget ($0-25),
95,Foods,Milo Dinosaur,Casual Dining,5.04,11.0,0,Malaysian,Budget ($0-25),
96,Foods,Milo Dinosaur,Casual Dining,6.578,11.0,0,Malaysian,Budget ($0-25),
97,Foods,ABC Special,Casual Dining,10.2085,10.0,0,Malaysian,Budget ($0-25),
98,Foods,Longan Drink,Casual Dining,5.058,10.0,0,Malaysian,Budget ($0-25),
99,Foods,Kuih Pie Tee,Casual Dining,20.978,31.0,0,Nyonya,Budget ($0-25),
100,Foods,Ayam Pongteh,Casual Dining,14.238,16.0,0,Nyonya,Budget ($0-25),
101,Foods,Kuih Dadar,Casual Dining,4.482,13.0,0,Nyonya,Budget ($0-25),
102,Foods,Kuih Lapis Nyonya,Casual Dining,4.752,13.0,0,Nyonya,Budget ($0-25),
103,Foods,Kuih Dadar,Casual Dining,5.51,11.0,0,Nyonya,Budget ($0-25),
104,Foods,Ayam Pongteh,Casual Dining,29.427,50.0,0,Nyonya,Mid ($26-50),
105,Foods,Bambangan,Casual Dining,5.13,17.0,0,Sabahan,Budget ($0-25),
106,Foods,Hinava,Casual Dining,13.392,15.0,0,Sabahan,Budget ($0-25),
107,Foods,Bambangan,Casual Dining,5.094,11.0,0,Sabahan,Budget ($0-25),
108,Foods,Bambangan,Casual Dining,5.688,8.0,0,Sabahan,Budget ($0-25),
109,Foods,Hinava,Casual Dining,39.865,26.0,0,Sabahan,Mid ($26-50),
110,Foods,Kolo Mee,Casual Dining,7.074,12.0,0,Sarawakian,Budget ($0-25),
111,Foods,Manok Pansoh,Casual Dining,16.146,9.0,0,Sarawakian,Budget ($0-25),
112,Foods,Midin Belacan,Casual Dining,15.543,9.0,0,Sarawakian,Budget ($0-25),
113,Foods,Manok Pansoh,Casual Dining,26.75,16.0,0,Sarawakian,Mid ($26-50),
114,Foods,Chai Tow Kway,Fast Food,6.24,34.0,0,Chinese,Budget ($0-25),
115,Foods,Char Kway Teow,Fast Food,14.127,33.0,0,Chinese,Budget ($0-25),
116,Foods,Lor Bak,Fast Food,15.827,22.0,0,Chinese,Budget ($0-25),
117,Foods,Hainanese Chicken Chop,Fast Food,14.4245,18.0,0,Chinese,Budget ($0-25),
118,Foods,Bak Chang,Fast Food,8.37,13.0,0,Chinese,Budget ($0-25),
119,Foods,Bak Kwa,Fast Food,20.04,13.0,0,Chinese,Budget ($0-25),
120,Foods,Claypot Lou Shu Fun,Fast Food,10.404,11.0,0,Chinese,Budget ($0-25),
121,Foods,Chai Tow Kway,Fast Food,10.01,10.0,0,Chinese,Budget ($0-25),
122,Foods,Masala Dosa,Fast Food,7.446,41.0,0,Indian,Budget ($0-25),
123,Foods,Masala Dosa,Fast Food,16.133,31.0,0,Indian,Budget ($0-25),
124,Foods,Appam,Fast Food,7.191,17.0,0,Indian,Budget ($0-25),
125,Foods,Idli Sambar,Fast Food,13.9655,16.0,0,Indian,Budget ($0-25),
126,Foods,Masala Dosa,Fast Food,10.387,14.0,0,Indian,Budget ($0-25),
127,Foods,Idli Sambar,Fast Food,9.2225,12.0,0,Indian,Budget ($0-25),
128,Foods,Banana Leaf Rice,Fast Food,19.547,11.0,0,Indian,Budget ($0-25),
129,Foods,Chicken 65,Fast Food,15.114,11.0,0,Indian,Budget ($0-25),
130,Foods,Fish Head Curry Tamil,Fast Food,28.56,46.0,0,Indian,Mid ($26-50),
131,Foods,Fish Head Curry Tamil,Fast Food,26.13,26.0,0,Indian,Mid ($26-50),
132,Foods,Gulai Kawah,Fast Food,17.0255,48.0,0,Malay,Budget ($0-25),
133,Foods,Ketupat Palas,Fast Food,8.891,39.0,0,Malay,Budget ($0-25),
134,Foods,Gulai Nangka Muda,Fast Food,9.0695,36.0,0,Malay,Budget ($0-25),
135,Foods,Kuih Seri Muka,Fast Food,9.146,29.0,0,Malay,Budget ($0-25),
136,Foods,Ikan Bakar Sambal,Fast Food,18.38,24.0,0,Malay,Budget ($0-25),
137,Foods,Lempeng,Fast Food,8.6275,21.0,0,Malay,Budget ($0-25),
138,Foods,Mee Bandung,Fast Food,15.0705,19.0,0,Malay,Budget ($0-25),
139,Foods,Gulai Kawah,Fast Food,15.51,18.0,0,Malay,Budget ($0-25),
140,Foods,Ikan Bakar Sambal,Fast Food,17.84,16.0,0,Malay,Budget ($0-25),
141,Foods,Gulai Nangka Muda,Fast Food,7.794,13.0,0,Malay,Budget ($0-25),
142,Foods,Ketupat Palas,Fast Food,5.87,13.0,0,Malay,Budget ($0-25),
143,Foods,Cucur Udang,Fast Food,7.953,11.0,0,Malay,Budget ($0-25),
144,Foods,Keropok Lekor,Fast Food,6.54,11.0,0,Malay,Budget ($0-25),
145,Foods,Lemang,Fast Food,8.43,11.0,0,Malay,Budget ($0-25),
146,Foods,Cucur Udang,Fast Food,7.568,9.0,0,Malay,Budget ($0-25),
147,Foods,Gulai Kawah,Fast Food,13.497,9.0,0,Malay,Budget ($0-25),
148,Foods,Cucur Udang,Fast Food,7.86,8.0,0,Malay,Budget ($0-25),
149,Foods,Cucur Udang,Fast Food,7.227,6.0,0,Malay,Budget ($0-25),
150,Foods,Ayam Percik,Fast Food,26.877,53.0,0,Malay,Mid ($26-50),
151,Foods,Kopi Tarik,Fast Food,3.65,15.0,0,Malaysian,Budget ($0-25),
152,Foods,Longan Drink,Fast Food,4.5305,13.0,0,Malaysian,Budget ($0-25),
153,Foods,Limau Ais,Fast Food,3.54,10.0,0,Malaysian,Budget ($0-25),
154,Foods,Kuih Dadar,Fast Food,4.75,54.0,0,Nyonya,Budget ($0-25),
155,Foods,Kuih Lapis Nyonya,Fast Food,7.3015,33.0,0,Nyonya,Budget ($0-25),
156,Foods,Kuih Dadar,Fast Food,7.0805,26.0,0,Nyonya,Budget ($0-25),
157,Foods,Ayam Pongteh,Fast Food,17.9265,25.0,0,Nyonya,Budget ($0-25),
158,Foods,Kuih Dadar,Fast Food,6.562,20.0,0,Nyonya,Budget ($0-25),
159,Foods,Kuih Pie Tee,Fast Food,6.93,17.0,0,Nyonya,Budget ($0-25),
160,Foods,Cincalok Omelette,Fast Food,7.095,9.0,0,Nyonya,Budget ($0-25),
161,Foods,Hinava,Fast Food,22.3635,52.0,0,Sabahan,Budget ($0-25),
162,Foods,Kolo Mee,Fast Food,10.778,32.0,0,Sarawakian,Budget ($0-25),
163,Foods,Manok Pansoh,Fast Food,21.329,15.0,0,Sarawakian,Budget ($0-25),
164,Foods,Manok Pansoh,Fast Food,18.756,12.0,0,Sarawakian,Budget ($0-25),
165,Foods,Midin Belacan,Fast Food,8.208,9.0,0,Sarawakian,Budget ($0-25),
166,Foods,Kolo Mee,Fast Food,14.3565,8.0,0,Sarawakian,Budget ($0-25),
167,Foods,Kolo Mee,Fast Food,12.496,5.0,0,Sarawakian,Budget ($0-25),Top Rated (4.5-5)
168,Foods,Lamb Chop,Fast Food,23.31,100.0,0,Western,Budget ($0-25),
169,Foods,Claypot Lou Shu Fun,Fine Dining,11.232,9.0,0,Chinese,Budget ($0-25),
170,Foods,Chee Cheong Fun,Fine Dining,6.426,8.0,0,Chinese,Budget ($0-25),
171,Foods,Fish Maw Soup,Fine Dining,23.436,5.0,0,Chinese,Budget ($0-25),Top Rated (4.5-5)
172,Foods,Braised Duck,Fine Dining,14.472,4.0,0,Chinese,Budget ($0-25),Good (4-4.4)
173,Foods,Lor Bak,Fine Dining,10.548,4.0,0,Chinese,Budget ($0-25),Good (4-4.4)
174,Foods,Braised Duck,Fine Dining,18.234,3.0,0,Chinese,Budget ($0-25),Average (3-3.9)
175,Foods,Chai Tow Kway,Fine Dining,6.48,3.0,0,Chinese,Budget ($0-25),Average (3-3.9)
176,Foods,Claypot Lou Shu Fun,Fine Dining,13.626,3.0,0,Chinese,Budget ($0-25),Average (3-3.9)
177,Foods,Fish Maw Soup,Fine Dining,18.126,3.0,0,Chinese,Budget ($0-25),Average (3-3.9)
178,Foods,Banana Leaf Rice,Fine Dining,12.42,9.0,0,Indian,Budget ($0-25),
179,Foods,Appam,Fine Dining,7.362,8.0,0,Indian,Budget ($0-25),
180,Foods,Banana Leaf Rice,Fine Dining,10.638,7.0,0,Indian,Budget ($0-25),
181,Foods,Chicken 65,Fine Dining,14.562,6.0,0,Indian,Budget ($0-25),
182,Foods,Fish Head Curry Tamil,Fine Dining,24.318,6.0,0,Indian,Budget ($0-25),
183,Foods,Appam,Fine Dining,5.706,5.0,0,Indian,Budget ($0-25),Top Rated (4.5-5)
184,Foods,Masala Dosa,Fine Dining,8.28,5.0,0,Indian,Budget ($0-25),Top Rated (4.5-5)
185,Foods,Appam,Fine Dining,10.81,3.0,0,Indian,Budget ($0-25),Average (3-3.9)
186,Foods,Masala Dosa,Fine Dining,10.134,3.0,0,Indian,Budget ($0-25),Average (3-3.9)
187,Foods,Lemang,Fine Dining,4.86,11.0,0,Malay,Budget ($0-25),
188,Foods,Gulai Ikan Patin,Fine Dining,12.366,10.0,0,Malay,Budget ($0-25),
189,Foods,Ikan Bakar Sambal,Fine Dining,13.014,10.0,0,Malay,Budget ($0-25),
190,Foods,Gulai Ikan Patin,Fine Dining,14.148,9.0,0,Malay,Budget ($0-25),
191,Foods,Ikan Pekasam,Fine Dining,7.65,9.0,0,Malay,Budget ($0-25),
192,Foods,Lemang,Fine Dining,5.544,7.0,0,Malay,Budget ($0-25),
193,Foods,Dodol,Fine Dining,6.408,6.0,0,Malay,Budget ($0-25),
194,Foods,Dodol,Fine Dining,5.526,6.0,0,Malay,Budget ($0-25),
195,Foods,Keropok Lekor,Fine Dining,3.762,6.0,0,Malay,Budget ($0-25),
196,Foods,Ketupat Palas,Fine Dining,4.248,6.0,0,Malay,Budget ($0-25),
197,Foods,Lemang,Fine Dining,5.382,6.0,0,Malay,Budget ($0-25),
198,Foods,Gulai Tempoyak Ikan,Fine Dining,13.734,5.0,0,Malay,Budget ($0-25),Top Rated (4.5-5)
199,Foods,Kuih Seri Muka,Fine Dining,6.192,5.0,0,Malay,Budget ($0-25),Top Rated (4.5-5)
200,Foods,Lemang,Fine Dining,5.418,5.0,0,Malay,Budget ($0-25),Top Rated (4.5-5)
201,Foods,Cucur Udang,Fine Dining,6.228,4.0,0,Malay,Budget ($0-25),Good (4-4.4)
202,Foods,Cucur Udang,Fine Dining,6.336,4.0,0,Malay,Budget ($0-25),Good (4-4.4)
203,Foods,Dodol,Fine Dining,5.886,4.0,0,Malay,Budget ($0-25),Good (4-4.4)
204,Foods,Gulai Tempoyak Ikan,Fine Dining,14.634,4.0,0,Malay,Budget ($0-25),Good (4-4.4)
205,Foods,Ikan Bakar Sambal,Fine Dining,9.63,4.0,0,Malay,Budget ($0-25),Good (4-4.4)
206,Foods,Keropok Keping,Fine Dining,4.176,4.0,0,Malay,Budget ($0-25),Good (4-4.4)
207,Foods,Keropok Keping,Fine Dining,4.014,4.0,0,Malay,Budget ($0-25),Good (4-4.4)
208,Foods,Ikan Bakar Sambal,Fine Dining,10.998,3.0,0,Malay,Budget ($0-25),Average (3-3.9)
209,Foods,Keropok Keping,Fine Dining,3.762,3.0,0,Malay,Budget ($0-25),Average (3-3.9)
210,Foods,Ketupat Palas,Fine Dining,4.752,3.0,0,Malay,Budget ($0-25),Average (3-3.9)
211,Foods,Kuih Bahulu,Fine Dining,4.77,3.0,0,Malay,Budget ($0-25),Average (3-3.9)
212,Foods,Longan Drink,Fine Dining,4.5,9.0,0,Malaysian,Budget ($0-25),
213,Foods,Grass Jelly Drink,Fine Dining,4.95,8.0,0,Malaysian,Budget ($0-25),
214,Foods,ABC Special,Fine Dining,8.532,7.0,0,Malaysian,Budget ($0-25),
215,Foods,Durian Cendol,Fine Dining,10.026,6.0,0,Malaysian,Budget ($0-25),
216,Foods,ABC Special,Fine Dining,6.192,5.0,0,Malaysian,Budget ($0-25),Top Rated (4.5-5)
217,Foods,Barley Water,Fine Dining,3.636,5.0,0,Malaysian,Budget ($0-25),Top Rated (4.5-5)
218,Foods,Kopi Tarik,Fine Dining,2.592,5.0,0,Malaysian,Budget ($0-25),Top Rated (4.5-5)
219,Foods,Air Mata Kucing,Fine Dining,4.662,4.0,0,Malaysian,Budget ($0-25),Good (4-4.4)
220,Foods,Durian Cendol,Fine Dining,12.006,4.0,0,Malaysian,Budget ($0-25),Good (4-4.4)
221,Foods,Milo Dinosaur,Fine Dining,5.85,4.0,0,Malaysian,Budget ($0-25),Good (4-4.4)
222,Foods,ABC Special,Fine Dining,6.228,3.0,0,Malaysian,Budget ($0-25),Average (3-3.9)
223,Foods,Air Mata Kucing,Fine Dining,5.148,3.0,0,Malaysian,Budget ($0-25),Average (3-3.9)
224,Foods,Longan Drink,Fine Dining,4.338,3.0,0,Malaysian,Budget ($0-25),Average (3-3.9)
225,Foods,Kuih Pie Tee,Fine Dining,7.488,14.0,0,Nyonya,Budget ($0-25),
226,Foods,Kuih Pie Tee,Fine Dining,10.044,9.0,0,Nyonya,Budget ($0-25),
227,Foods,Kuih Dadar,Fine Dining,4.986,5.0,0,Nyonya,Budget ($0-25),Top Rated (4.5-5)
228,Foods,Kuih Pie Tee,Fine Dining,8.226,5.0,0,Nyonya,Budget ($0-25),Top Rated (4.5-5)
229,Foods,Kuih Pie Tee,Fine Dining,7.038,5.0,0,Nyonya,Budget ($0-25),Top Rated (4.5-5)
230,Foods,Kuih Lapis Nyonya,Fine Dining,4.644,4.0,0,Nyonya,Budget ($0-25),Good (4-4.4)
231,Foods,Bambangan,Fine Dining,6.66,14.0,0,Sabahan,Budget ($0-25),
232,Foods,Hinava,Fine Dining,17.424,11.0,0,Sabahan,Budget ($0-25),
233,Foods,Hinava,Fine Dining,14.202,10.0,0,Sabahan,Budget ($0-25),
234,Foods,Bambangan,Fine Dining,5.4,3.0,0,Sabahan,Budget ($0-25),Average (3-3.9)
235,Foods,Hinava,Fine Dining,12.942,3.0,0,Sabahan,Budget ($0-25),Average (3-3.9)
236,Foods,Midin Belacan,Fine Dining,9.36,10.0,0,Sarawakian,Budget ($0-25),
237,Foods,Manok Pansoh,Fine Dining,15.732,4.0,0,Sarawakian,Budget ($0-25),Good (4-4.4)
238,Foods,Mushroom Soup Western,Fine Dining,11.412,8.0,0,Western,Budget ($0-25),
239,Foods,Fish Maw Soup,Food Court,23.12,72.0,0,Chinese,Budget ($0-25),
240,Foods,Chee Cheong Fun,Food Court,8.007,56.0,0,Chinese,Budget ($0-25),
241,Foods,Claypot Lou Shu Fun,Food Court,9.288,55.0,0,Chinese,Budget ($0-25),
242,Foods,Lor Bak,Food Court,8.9505,46.0,0,Chinese,Budget ($0-25),
243,Foods,Egg Tart,Food Court,12.4865,44.0,0,Chinese,Budget ($0-25),
244,Foods,Bak Chang,Food Court,7.378,40.0,0,Chinese,Budget ($0-25),
245,Foods,Bak Chang,Food Court,9.69,33.0,0,Chinese,Budget ($0-25),
246,Foods,Bak Chang,Food Court,8.1685,31.0,0,Chinese,Budget ($0-25),
247,Foods,Ang Ku Kueh,Food Court,5.236,30.0,0,Chinese,Budget ($0-25),
248,Foods,Lor Bak,Food Court,9.944,29.0,0,Chinese,Budget ($0-25),
249,Foods,Lor Bak,Food Court,12.89,28.0,0,Chinese,Budget ($0-25),
250,Foods,Bak Chang,Food Court,8.19,26.0,0,Chinese,Budget ($0-25),
251,Foods,Chai Tow Kway,Food Court,8.81,21.0,0,Chinese,Budget ($0-25),
252,Foods,Bak Kwa,Food Court,17.391,20.0,0,Chinese,Budget ($0-25),
253,Foods,Banana Leaf Rice,Food Court,11.2625,69.0,0,Indian,Budget ($0-25),
254,Foods,Idli Sambar,Food Court,5.8565,39.0,0,Indian,Budget ($0-25),
255,Foods,Masala Dosa,Food Court,7.3355,28.0,0,Indian,Budget ($0-25),
256,Foods,Idli Sambar,Food Court,6.27,9.0,0,Indian,Budget ($0-25),
257,Foods,Chicken Rendang,Food Court,15.555,100.0,0,Malay,Budget ($0-25),
258,Foods,Gulai Kawah,Food Court,9.24,55.0,0,Malay,Budget ($0-25),
259,Foods,Ikan Bakar Sambal,Food Court,12.903,51.0,0,Malay,Budget ($0-25),
260,Foods,Dodol,Food Court,8.84,42.0,0,Malay,Budget ($0-25),
261,Foods,Lemang,Food Court,6.6385,34.0,0,Malay,Budget ($0-25),
262,Foods,Gulai Tempoyak Ikan,Food Court,14.63,24.0,0,Malay,Budget ($0-25),
263,Foods,Kuih Seri Muka,Food Court,8.75,23.0,0,Malay,Budget ($0-25),
264,Foods,Kuih Seri Muka,Food Court,4.55,22.0,0,Malay,Budget ($0-25),
265,Foods,Dodol,Food Court,8.7,17.0,0,Malay,Budget ($0-25),
266,Foods,Keropok Lekor,Food Court,5.2105,14.0,0,Malay,Budget ($0-25),
267,Foods,Gulai Tempoyak Ikan,Food Court,14.003,12.0,0,Malay,Budget ($0-25),
268,Foods,Dodol,Food Court,6.072,10.0,0,Malay,Budget ($0-25),
269,Foods,Milo Dinosaur,Food Court,4.454,70.0,0,Malaysian,Budget ($0-25),
270,Foods,Kopi Tarik,Food Court,3.29,53.0,0,Malaysian,Budget ($0-25),
271,Foods,Barley Water,Food Court,5.3295,37.0,0,Malaysian,Budget ($0-25),
272,Foods,Grass Jelly Drink,Food Court,4.884,29.0,0,Malaysian,Budget ($0-25),
273,Foods,Barley Water,Food Court,4.641,26.0,0,Malaysian,Budget ($0-25),
274,Foods,Durian Cendol,Food Court,14.637,26.0,0,Malaysian,Budget ($0-25),
275,Foods,Air Mata Kucing,Food Court,5.0,19.0,0,Malaysian,Budget ($0-25),
276,Foods,Air Mata Kucing,Food Court,4.037,14.0,0,Malaysian,Budget ($0-25),
277,Foods,Kuih Pie Tee,Food Court,9.7495,64.0,0,Nyonya,Budget ($0-25),
278,Foods,Kuih Lapis Nyonya,Food Court,5.74,10.0,0,Nyonya,Budget ($0-25),
